ÁLAVA, 43
LUIS ERIK CLAVERÍA NEURÓLOGO, S/NÚM
CALLE DR. VELASCO, 21-23
CTRA. DE LA GRANJA, KM. 7
AV. MANUEL SIUROT, S/N
CTRA. CÁDIZ-BELLAVISTA, KM. 548,9
AV. DOCTOR FEDRIANI, 3
AV. DOCTOR FEDRIANI, 56
AV. CRUZ ROJA, 1
AV. EDUARDO DATO, 42
SOR GREGORIA DE SANTA TERESA, S/N
LUIS MONTOTO, 100
RAFAEL SALGADO, 3
GLORIETA DE MÉXICO, 1
SAN JACINTO, 87
JESÚS DEL GRAN PODER, 29
AV. RIO PUDIO, S/N
CTRA. ALCALÁ -DOS HERMANAS, KM. 6
PROLONGACIÓN DOCTOR FLEMING, SECTOR 13, S/N
PZA DE SAN FRANCISCO, S/N
AV. DE LA CONSTITUCIÓN, 2
AV. MANUEL SIUROT, S/N
AV. DOCTOR FEDRIANI, 3
AVDA. DE BELLAVISTA, S/N
AV. DE JEREZ, S/N
CRTA. TORREBLANCA-MAIRENA, KM. 3,5
AVDA. SAN JUAN DE DIOS, S/N
AVDA. PLACIDO FERNANDEZ VIAGAS, S/N
BRIGADAS INTERNACIONALES, S/N
DR. LARRAURI, S/N
AVDA. DE JEREZ, 59
AV. DOCTOR SÁNCHEZ MALO, 73
C/ HERMANOS DE LA CRUZ BLANCA, 1 (MONTEQUINTO)
AVENIDA MANUEL SIUROT, S/N
AVDA. EL CUERVO, S/N
AVENIDA MANUEL SIUROT, S/N
Pº SANTA BÁRBARA, S/N
CTRA. DE LOGROÑO, 8
Pº. STA. BÁRBARA, S/N
CR DOCTOR MALLAFRÉ GUASCH, 4
CR DOCTOR MALLAFRE GUASCH, S/N
RB VELLA, 14
CR LÓPEZ PELÁEZ, 15-17
CR PIN I SOLER, 12
CR BENET MESSEGUER, S/N
AV JOSEP LAPORTE, 2
CR ANTONI GAUDÍ, 26
PD BELLISENS, S/N
CT DE L'INSTITUT PERE MATA, S/N
CR ESPLANETES, 44
PS MOSSÈN VALLS BARTOMEU, 1
PL JOAQUIM BAU, 6-8
AV SANTA OLIVA, 1-13
PL SANT FRANCESC, S/N
CM DEL BOSC, S/N
CM DE TARRAGONA, 10
CR JACINT VERDAGUER, 11
CR JOAN FUSTER ORTELLS, S/N
CR REQUET DE FÈLIX, 35
CR AMÈRICA, 15
CT N-340, 1193
AV PAU CASALS, 3
CR MENORCA, 26
AV. RUIZ JARABO, S/N
AV. ZARAGOZA, 16
AV. DE ZARAGOZA, 10
DR. REPOLLÉS, 2
AVDA. DE BARBER, 30
CTRA. DE COBISA, S/N
FINCA LA PERALEDA, S/N
SUBIDA DE SAN SERVANDO, S/N
CTRA. DE MADRID, KM. 114
AVENIDA DE EXTREMADURA, 5
AVDA. DE BARBER, 30
SAN PEDRO EL VERDE, 35
URBANIZACIÓN TRES CULTURAS, S/N
CTRA. DE LA PUEBLA DE MONTALBÁN, KM. 3,500
AVDA. FERNANDO ABRIL MARTORELL,106
AV. GASPAR AGUILAR, 90
SAN CLEMENTE, 12
AV. BLASCO IBÁÑEZ, 17
ISABEL DE VILLENA, 2
AV. TRES CRUCES, 2
DR. MANUEL CANDELA, 41
RÍO TAJO, 1
PROFESOR BELTRÁN BÁGUENA, 11,8 Y 19
CALLOSA DE ENSARRIA, 12
AV. BLASCO IBÁÑEZ, 14
CTRA. VALENCIA-TORRES TORRES, KM. 9
PUJADA DE L'ERMITA, 31
Pº DE LA MEDICINA. 6,
CTRA. XÀTIVA-SILLA, KM. 2
AV. FRANCISCO CERDA, 3
AUTOVÍA VALENCIA-ADEMUZ, KM. 11,7
AV. RAMÓN Y CAJAL, S/N
PORTA COELI, S/N
PARAJE CASABLANCA S/N
AV. VALLE DE LA BALLESTERA, 59
DAIMUZ, 26
URBANIZACIÓN AGUAS VIVAS, S/N
ALICANTE, 31
CRTRA CORBERA, KM. 1
SAN LLÁTZER S/N
AVDA. GENERALITAT VALENCIANA, 50
CALLE DOLORES IBARRURI 1
PARATGE CABEÇÓ DE L'AGUILA, S/N
AVDA DE LA ILUSTRACIÓN,1
DULZAINA, 2
AV. RAMÓN Y CAJAL, 3
FIDEL RECIO, 1
Pº JUAN CARLOS I, 10
CALLE DE PEÑARANDA,  24
FELIPE II, 9
PLAZA DE COLÓN, S/N
CTRA. SANTA MARINA, 41
FONTECHA Y SALAZAR, 6
ERCILLA, 10
ALAMEDA DE URQUIJO, 65
GORDONIZ, 18
AV. MONTEVIDEO, 18
MAESTRO MENDIRI, 2
MANUEL ALLENDE, 24
GORDONIZ, 9
PZA DE CRUCES, 12
AV. ANTONIO MIRANDA, 5
TOMPOI BIDEA, S/N
BARRIO LABEAGA, 46A
UREZARANTZA IBILTOKIA, 1
AV. CRISTÓBAL MURRIETA, 70
AV. DE BILBAO, S/N
ARTEAGA AUZOA, 45
AV.  MURRIETA, 70
CARRETERA LEIOA-UNBE, 33 BIS
BALLETS OLAETA, 4
GOIETA KALEA Nº 32
AV. REQUEJO, 35
HERNÁN CORTÉS, 40
LUISA MOZO, 6
AVDA. REQUEJO, 35
PINAR, 7
SAN JUAN BOSCO, 15
Pº DE ISABEL LA CATÓLICA, 1-3
AV. SAN GREGORIO, 30
DUQUESA DE VILLAHERMOSA, 66-68
RAMÓN Y CAJAL, 60
AV. DE LA ACADEMIA GENERAL MILITAR, 74
VÍA HISPANIDAD, 37
CAMINO DEL ABEJAR, Nº 100 (GARRAPINILLOS)
Pº DE COLÓN, 14
Pº MARIANO RENOVALES, S/N
Pº DE RUISEÑORES, 20
VÍA IBÉRICA, 1-15
CTRA. DE SAGUNTO-BURGOS, KM. 254
CTRA. DE SOS, S/N
CAMINO VIEJO DE ALFOCEA,10 JUSLIBOL
TORRE DEL CEREZO, Nº 17 Bº. DE SAN JUAN DE MOZARRIFAR
ANTONIO MACHADO, S/N
C/ FRANZ SCHUBERT, 2
LOMA COLMENAR, S/N
CTRA. REMONTA, 2
